"lat","long","accuracy","formatted_address","address_type","status","index"
32.9061204,-117.1878408,"subpremise","10421 Pacific Center Ct #200, San Diego, CA 92121, USA","subpremise","OK",85021
40.7511649,-73.9924654,"street_address","1 Pennsylvania Plaza, New York, NY 10119, USA","street_address","OK",85022
33.8148164,-118.3399689,"premise","3132 Kashiwa St, Torrance, CA 90505, USA","premise","OK",85023
40.7511977,-73.976591,"street_address","122 E 42nd St, New York, NY 10168, USA","street_address","OK",85024
40.8357079,-74.0610389,"street_address","120 Moonachie Ave, Moonachie, NJ 07074, USA","street_address","OK",85025
40.7459203,-73.9954703,"premise","207 W 25th St, New York, NY 10001, USA","premise","OK",85026
40.6750069,-73.9915244,"street_address","134B 5th St, Brooklyn, NY 11215, USA","street_address","OK",85027
40.7259118,-73.9969642,"premise","611 Broadway, New York, NY 10012, USA","premise","OK",85028
25.841645,-80.220215,"street_address","1350 NW 74th St, Miami, FL 33147, USA","street_address","OK",85029
40.7596528,-73.8305506,"street_address","39-20 Main St, Flushing, NY 11354, USA","street_address","OK",85030
40.8795688,-73.987062,"street_address","500 Nordhoff Pl, Englewood, NJ 07631, USA","street_address","OK",85031
40.7562341,-73.980048,"premise","10 W 46th St, New York, NY 10036, USA","premise","OK",85032
40.7547951,-73.9640963,"street_address","429 E 52nd St, New York, NY 10022, USA","street_address","OK",85033
34.0964339,-117.8341217,"premise","1335 Cypress St, San Dimas, CA 91773, USA","premise","OK",85034
NA,NA,NA,NA,NA,"ZERO_RESULTS",85035
40.8539648,-73.8843835,"street_address","696 E 187th St, Bronx, NY 10458, USA","street_address","OK",85036
40.6177802,-73.9420483,"street_address","3303 Avenue N, Brooklyn, NY 11234, USA","street_address","OK",85037
40.7634117,-73.8296235,"street_address","137-44 Northern Blvd, Flushing, NY 11354, USA","street_address","OK",85038
39.2494482,-84.3733994,"street_address","5151 Pfeiffer Rd, Blue Ash, OH 45242, USA","street_address","OK",85039
40.691548,-73.821226,"street_address","124-17 101st Ave, South Richmond Hill, NY 11419, USA","street_address","OK",85040
41.405246,-72.914862,"street_address","16 Corporate Ridge Rd, Hamden, CT 06514, USA","street_address","OK",85041
42.6226213,-83.131899,"street_address","89 W South Blvd, Troy, MI 48085, USA","street_address","OK",85042
27.6926124,-97.3784821,"subpremise","6000 S Staples St #404, Corpus Christi, TX 78413, USA","subpremise","OK",85043
